DELIVERY_START,load_forecast,coal_power_available,gas_power_available,nucelear_power_available,wind_power_forecasts_average,solar_power_forecasts_average,wind_power_forecasts_std,solar_power_forecasts_std,predicted_spot_price
2022-01-01 02:00:00+01:00,49439.0,3386.0,11487.0,44118.0,3035.0,0.0,79.24834795498744,0.0,
2022-01-01 03:00:00+01:00,46511.0,3386.0,11487.0,44118.0,3143.0,0.0,61.77653170323712,0.0,
2022-01-01 04:00:00+01:00,45158.0,3386.0,11487.0,44118.0,3288.0,0.0,44.29111213752825,0.0,
2022-01-01 05:00:00+01:00,44779.0,3386.0,11487.0,44118.0,3447.0,0.0,36.12758799558981,0.0,
2022-01-01 06:00:00+01:00,45284.0,3386.0,11487.0,44118.0,3679.0,0.0,30.983022970948046,0.0,
2022-01-01 07:00:00+01:00,45648.0,3386.0,11487.0,44118.0,3902.0,0.0,27.62405175375482,0.0,
2022-01-01 08:00:00+01:00,45909.0,3386.0,11487.0,44118.0,4092.0,198.0,44.94470095340352,6.1953492993677495,
2022-01-01 09:00:00+01:00,47091.0,3386.0,11487.0,44118.0,4315.0,1012.0,30.505330081784955,23.23995671758656,
2022-01-01 10:00:00+01:00,48300.0,3386.0,11487.0,44118.0,4436.0,2401.0,35.83590962010974,44.45015384079769,
2022-01-01 11:00:00+01:00,49559.0,3386.0,11487.0,44118.0,4459.0,3699.0,57.670945098001916,53.42648880361061,
2022-01-01 12:00:00+01:00,51367.0,3386.0,11487.0,44118.0,4135.0,4337.0,85.92893020253233,40.55823699614286,
2022-01-01 13:00:00+01:00,50054.0,3386.0,11487.0,44118.0,3570.0,4391.0,64.74214818519671,22.229253381127087,
2022-01-01 14:00:00+01:00,47679.0,3386.0,11487.0,44118.0,3411.0,3765.0,43.2179459214943,13.812292053265667,
2022-01-01 15:00:00+01:00,46322.0,3386.0,11487.0,44118.0,3233.0,2361.0,170.99891394809652,40.17696149902488,
2022-01-01 16:00:00+01:00,46171.0,3386.0,11487.0,44926.0,3263.0,925.0,157.4138313037146,23.668224985190268,
2022-01-01 17:00:00+01:00,49193.0,3386.0,11487.0,44926.0,3717.0,126.0,143.2432496539665,6.366007415968655,
2022-01-01 18:00:00+01:00,53817.0,3386.0,11487.0,45033.0,4215.0,0.0,191.07250348310615,0.0,
2022-01-01 19:00:00+01:00,55236.0,3386.0,11487.0,45033.0,4563.0,0.0,211.52473681750345,0.0,
2022-01-01 20:00:00+01:00,54017.0,3386.0,11487.0,44416.0,4764.0,0.0,203.59450050264292,0.0,
2022-01-01 21:00:00+01:00,52169.0,3386.0,11487.0,44416.0,4897.0,0.0,207.08125082789238,0.0,
2022-01-01 22:00:00+01:00,52946.0,3386.0,11487.0,44416.0,5070.0,0.0,255.5697696185078,0.0,
2022-01-01 23:00:00+01:00,53610.0,3386.0,11487.0,44416.0,5302.0,0.0,329.4531243001206,0.0,
2022-01-02 00:00:00+01:00,52698.0,2226.0,11487.0,43501.0,5611.0,0.0,101.46426332470986,0.0,
2022-01-02 01:00:00+01:00,50199.0,2226.0,11487.0,43371.0,5881.0,0.0,157.78168088700744,0.0,
2022-01-02 02:00:00+01:00,48690.0,2226.0,11487.0,43371.0,6110.0,0.0,85.75653331691946,0.0,
2022-01-02 03:00:00+01:00,45866.0,2226.0,11487.0,43501.0,6457.0,0.0,219.43237081040905,0.0,
2022-01-02 04:00:00+01:00,44697.0,2226.0,11487.0,44416.0,6856.0,0.0,286.6582306100258,0.0,
2022-01-02 05:00:00+01:00,44679.0,3386.0,11487.0,44416.0,7283.0,0.0,312.7309447286109,0.0,
2022-01-02 06:00:00+01:00,45234.0,3386.0,11487.0,44416.0,7880.0,0.0,237.51884686142074,0.0,
2022-01-02 07:00:00+01:00,46236.0,3386.0,11487.0,44416.0,8351.0,0.0,176.65386561095724,0.0,
2022-01-02 08:00:00+01:00,47898.0,3386.0,11487.0,44416.0,8757.0,147.0,119.75514234322912,2.761192316108386,
2022-01-02 09:00:00+01:00,50076.0,3386.0,11487.0,44416.0,9113.0,714.0,245.44570636139017,14.951446472966653,
2022-01-02 10:00:00+01:00,51823.0,3386.0,11487.0,44416.0,9210.0,1620.0,347.26987960525224,29.97035572398528,
2022-01-02 11:00:00+01:00,53289.0,3386.0,11487.0,45326.0,9367.0,2523.0,459.3189331531411,42.67233418240866,
2022-01-02 12:00:00+01:00,54707.0,3386.0,11487.0,45326.0,9752.0,3055.0,524.4590272288486,40.33701976347167,
2022-01-02 13:00:00+01:00,52377.0,3386.0,11487.0,45326.0,10222.0,3107.0,503.78663200628404,33.2565782966321,
2022-01-02 14:00:00+01:00,49488.0,3386.0,11487.0,45326.0,10331.0,2609.0,468.26240129930136,27.841756386636455,
2022-01-02 15:00:00+01:00,47969.0,3386.0,11487.0,45326.0,10328.0,1656.0,337.11371073905343,19.10497317454281,
