DELIVERY_START,spot_id_delta
2023-04-02 00:00:00+02:00,2.0789871
2023-04-02 01:00:00+02:00,10.512802
2023-04-02 02:00:00+02:00,4.8501096
2023-04-02 03:00:00+02:00,6.007916
2023-04-02 04:00:00+02:00,5.7627206
2023-04-02 05:00:00+02:00,4.967631
2023-04-02 06:00:00+02:00,9.294812
2023-04-02 07:00:00+02:00,5.137033
2023-04-02 08:00:00+02:00,13.119872
2023-04-02 09:00:00+02:00,12.516772
2023-04-02 10:00:00+02:00,29.354786
2023-04-02 11:00:00+02:00,34.522366
2023-04-02 12:00:00+02:00,32.749832
2023-04-02 13:00:00+02:00,21.384714
2023-04-02 14:00:00+02:00,-5.117025
2023-04-02 15:00:00+02:00,25.77777
2023-04-02 16:00:00+02:00,27.417807
2023-04-02 17:00:00+02:00,32.973324
2023-04-02 18:00:00+02:00,24.973492
2023-04-02 19:00:00+02:00,41.550667
2023-04-02 20:00:00+02:00,29.538433
2023-04-02 21:00:00+02:00,21.991154
2023-04-02 22:00:00+02:00,14.59559
2023-04-02 23:00:00+02:00,12.761809
2023-04-03 00:00:00+02:00,5.1952987
2023-04-03 01:00:00+02:00,7.560081
2023-04-03 02:00:00+02:00,-0.993992
2023-04-03 03:00:00+02:00,0.90347195
2023-04-03 04:00:00+02:00,-0.8277205
2023-04-03 05:00:00+02:00,0.44032806
2023-04-03 06:00:00+02:00,-0.28734127
2023-04-03 07:00:00+02:00,-3.0059178
2023-04-03 08:00:00+02:00,-0.39041662
2023-04-03 09:00:00+02:00,-1.585581
2023-04-03 10:00:00+02:00,8.123631
2023-04-03 11:00:00+02:00,-3.2153442
2023-04-03 12:00:00+02:00,-4.8802166
2023-04-03 13:00:00+02:00,-1.448241
2023-04-03 14:00:00+02:00,-6.044166
2023-04-03 15:00:00+02:00,0.6222795
2023-04-03 16:00:00+02:00,-3.0450716
2023-04-03 17:00:00+02:00,4.806062
2023-04-03 18:00:00+02:00,5.2762594
2023-04-03 19:00:00+02:00,0.2582345
2023-04-03 20:00:00+02:00,8.308719
2023-04-03 21:00:00+02:00,13.618783
2023-04-03 22:00:00+02:00,13.909864
2023-04-03 23:00:00+02:00,12.2756605
2023-04-04 00:00:00+02:00,-12.650928
2023-04-04 01:00:00+02:00,-5.594903
2023-04-04 02:00:00+02:00,-19.617138
2023-04-04 03:00:00+02:00,-27.706179
2023-04-04 04:00:00+02:00,-15.492159
2023-04-04 05:00:00+02:00,-2.665956
2023-04-04 06:00:00+02:00,-1.2188451
2023-04-04 07:00:00+02:00,-2.9625077
2023-04-04 08:00:00+02:00,7.506304
2023-04-04 09:00:00+02:00,21.356022
2023-04-04 10:00:00+02:00,-1.2885749
2023-04-04 11:00:00+02:00,-1.819058
2023-04-04 12:00:00+02:00,-5.798759
2023-04-04 13:00:00+02:00,-9.744871
2023-04-04 14:00:00+02:00,-15.794298
2023-04-04 15:00:00+02:00,0.10906371
2023-04-04 16:00:00+02:00,0.53972524
2023-04-04 17:00:00+02:00,14.608704
2023-04-04 18:00:00+02:00,11.939515
2023-04-04 19:00:00+02:00,10.773481
2023-04-04 20:00:00+02:00,14.228758
2023-04-04 21:00:00+02:00,9.464195
2023-04-04 22:00:00+02:00,3.1079245
2023-04-04 23:00:00+02:00,1.1799948
2023-04-05 00:00:00+02:00,0.049222015
2023-04-05 01:00:00+02:00,-1.7160501
2023-04-05 02:00:00+02:00,8.9486475
2023-04-05 03:00:00+02:00,10.809617
2023-04-05 04:00:00+02:00,8.90648
